Start Character,StationID,Date,Time,Canal Level,Discharge Rate,Level Sensor Alarm,High Level Alarm,Internal Temperature,Battery Voltage,Powewr Fail,End Character
*,9002,01/01/2015,00:00:14,659.39,-99.99,0,0,20,12.98,1,#
*,9002,01/01/2015,01:00:12,659.39,-99.99,0,0,19.5,12.9,1,#
*,9002,01/01/2015,02:00:12,659.39,-99.99,0,0,19.3,12.98,1,#
*,9002,01/01/2015,04:00:12,659.39,-99.99,0,0,18.3,13.02,1,#
*,9002,01/01/2015,05:00:12,659.39,-99.99,0,0,17.3,12.96,1,#
*,9002,01/01/2015,06:00:12,659.39,-99.99,0,0,16.8,13.05,1,#
*,9002,01/01/2015,07:00:12,659.38,-99.99,0,0,16.5,13.03,1,#
*,9002,01/01/2015,08:00:12,659.39,-99.99,0,0,16.8,13.09,0,#
*,9002,01/01/2015,09:00:12,659.39,-99.99,0,0,17,12.97,0,#
*,9002,01/01/2015,10:00:12,659.39,-99.99,0,0,18.3,12.44,0,#
*,9002,01/01/2015,11:00:12,659.39,-99.99,0,0,20,13.02,0,#
*,9002,01/01/2015,12:00:12,659.39,-99.99,0,0,21,13.26,0,#
*,9002,01/01/2015,13:00:12,659.38,-99.99,0,0,22.5,12.4,0,#
*,9002,01/01/2015,14:00:12,659.38,-99.99,0,0,22.3,13.52,0,#
*,9002,01/01/2015,15:00:12,659.39,-99.99,0,0,24.3,13.48,0,#
*,9002,01/01/2015,16:00:12,659.38,-99.99,0,0,24.5,12.22,0,#
*,9002,01/01/2015,17:00:12,659.38,-99.99,0,0,23.3,13.32,0,#
*,9002,01/01/2015,18:00:12,659.38,-99.99,0,0,22.5,13.01,0,#
*,9002,01/01/2015,19:00:12,659.38,-99.99,0,0,20.8,12.98,1,#
*,9002,01/01/2015,20:00:12,659.39,-99.99,0,0,19,12.95,1,#
*,9002,01/01/2015,21:00:12,659.38,-99.99,0,0,18,12.93,1,#
*,9002,01/01/2015,22:00:12,659.38,-99.99,0,0,17.3,12.96,1,#
*,9002,01/01/2015,23:00:12,659.38,-99.99,0,0,17,12.98,1,#
*,9002,02/01/2015,00:00:12,659.39,-99.99,0,0,17.3,13.02,1,#
*,9002,02/01/2015,01:00:12,659.38,-99.99,0,0,17.5,12.97,1,#
*,9002,02/01/2015,02:00:12,659.38,-99.99,0,0,17.5,13,1,#
*,9002,02/01/2015,03:00:12,659.38,-99.99,0,0,17.3,13.06,1,#
*,9002,02/01/2015,04:00:12,659.38,-99.99,0,0,16.5,12.94,1,#
*,9002,02/01/2015,05:00:12,659.38,-99.99,0,0,15.8,13.04,1,#
